PE (V):30000, 3rd Electrode (V):15000, x_width (mm):0, y_height (mm):0, 1st Solenoid wire current (A):3.5089755545322, 2st Solenoid wire current (A):-5.1642817615398
ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
1,1004.9348046309,0.91760192046142,0.49237510212092,2386.3796650955,-34.927701407076,-18.7511453312
2,1004.9744142683,0.83890902438757,-0.27686203534254,2385.7478986456,-29.169617203912,9.6241765457527
3,1004.981751893,0.2897205172309,0.16272764247852,2385.1599774744,-9.3860684204219,-5.2397619584157
4,1004.9099382803,-0.4710374642614,-0.94516012397017,2386.5716384776,18.503447450327,37.13446123734
5,1004.9433503591,-0.53602386577165,0.75229865933106,2385.8455194757,18.886323168634,-26.48389616487
6,1004.9241797191,1.294062103771,-1.2139450883461,2392.4323134735,18.088597841233,-16.96772562748
7,1004.9442735514,-0.17724344033615,0.27005463766899,2390.7072761465,-22.174425787491,33.782310782018
8,1004.9290549104,1.100215939531,-1.415733258402,2392.445170813,15.087483899941,-19.413056412909
9,1004.9070199961,0.11027322931114,0.9612160745912,2385.977351295,-3.970268206452,-34.497609658656
10,1004.9117289326,-0.71403867096705,0.77729256502705,2386.5568944415,27.985507876627,-30.439256507878
11,1004.9591328003,-0.84534234989764,-0.48884845585294,2387.5347793726,40.405227346321,23.365506448961
12,1004.9444114521,0.34530862970395,0.44913776076205,2385.3046316777,-11.348103085996,-14.77085416838
13,1004.9594822857,-0.65308582047881,-0.029357548836675,2385.3927992973,21.71149992494,1.0060724945456
14,1004.9588796732,0.27539552826914,0.27406309326182,2389.3850942812,-32.797952906702,-32.644046603046
15,1004.9493879874,-0.77935232329346,-0.10498644106379,2385.5571671979,26.434256490558,3.5779471796415
16,1004.9559086715,-0.68219948937048,0.3741743886405,2385.5447925629,23.105121098273,-12.689905523195
17,1004.9449045518,0.55727012805273,-0.099371708163374,2385.3043667324,-18.323569131128,3.2567841537027
18,1004.9256972237,0.33273076242448,0.36534509655755,2385.2496126694,-10.846683703585,-11.938657763221
19,1004.9967899434,1.0558625718743,-0.037735859745059,2386.7044762267,-42.49720063666,1.5232498569578
20,1004.9280659022,-0.53339752516624,0.61352800443604,2385.6048398378,18.213338084139,-20.950470075207
21,1004.9612808498,-0.08973849669674,0.90484305377229,2387.8669253212,4.6792765139683,-47.166502877349
22,1004.9710322587,0.35840023128048,0.74460242512197,2388.1796186988,-20.709380707526,-43.034535353066
23,1004.9904471277,0.49413831274541,-0.70645228731783,2385.6940834028,-17.062218846056,24.406841304232
24,1004.9068652755,-0.57342298775977,0.77952932446143,2385.9780154053,20.572387700293,-27.988022617993
25,1004.9852486855,-0.62175606346926,0.067747941234259,2385.3584139849,20.604807717432,-2.2514956759511
26,1004.9816867911,-0.0023880919505073,0.75963861813172,2388.4040550627,0.14725131087837,-47.808366791005
27,1004.9795852386,0.29545607109788,0.95403354625588,2386.1047069515,-10.815081603206,-34.879427212764
28,1004.9605863948,-0.82268087677399,0.55977475965832,2387.4308103991,38.301690018199,-26.058226652756
29,1004.9597884994,0.97092038683379,0.16868262025301,2387.4891486715,-45.828071716438,-7.9591052586927
30,1004.9858738914,-0.25943495413259,-0.64423855362687,2388.5973245055,17.80907048433,44.222561639728
31,1004.9542527072,0.51876610159124,-0.40731388305451,2385.4007686354,-17.256583531662,13.546719252279
32,1004.9318467378,0.84128998946612,-0.04068947816473,2391.4611208046,35.09466235024,-1.704104942644
33,1004.9597508743,-0.26924584046682,0.88899457421282,2387.7754929211,13.707708213955,-45.229367309768
34,1004.9656101604,-0.54705647891664,-0.70829533142164,2385.7722973569,19.111827917595,24.728264828305
35,1004.9490738497,-0.43088170725886,-0.93588615032512,2386.2751331027,16.116861762602,35.052078239043
36,1004.9863212827,1.0324242279814,-0.2169273445257,2386.831097155,-42.463696727055,8.9175252815938
37,1004.9743218821,0.77758381113644,0.63548767244774,2386.1377706443,-28.549192151347,-23.352425417573
38,1004.9065519846,0.21179679557713,-0.083435796905551,2385.1225758851,-6.8273882867754,2.6695692311409
39,1004.9234597588,-1.0368824260151,0.15839097700201,2386.4576328984,40.002668409655,-6.0936543607578
40,1004.9790619536,0.48834143603642,0.56716891077688,2385.5071693622,-16.474993738273,-19.136047200566
41,1004.9619511007,0.57496929411209,0.51297718259972,2385.5357233212,-19.456992957312,-17.360877491813
42,1004.9988159174,0.15441649909268,0.40905024812857,2385.2165210528,-5.0146605012623,-13.319107754817
43,1004.9595816877,-0.77155958468386,-0.60891724284052,2387.5016899782,36.552443920167,28.843871926876
44,1004.9561735048,-0.26059042714838,0.73278701231701,2385.544346587,8.8136586474782,-24.83012982124
45,1004.9137751811,-0.1097482313346,0.1423565174727,2385.1020112625,3.530379793235,-4.5536389099846
46,1004.9701936881,-1.0048888067154,-0.083960822927713,2386.1597008218,37.038842767188,3.0874060490166
47,1004.985257376,-1.0275319032192,0.23538154230582,2386.8444292403,42.392963010954,-9.7113890930898
48,1004.9441015591,-0.047330908806982,-0.16589453903405,2385.1020092315,1.4811908930702,5.3253673267713
49,1004.9044634256,-0.8439807568462,-0.030396982703134,2385.6650842151,29.004835610853,1.0448810910185
50,1004.9869496034,-0.47597994716995,-0.86923029621538,2386.0673104358,17.291168870797,31.604577956166
51,1004.9375001223,-0.69135819439502,-0.62385059048675,2385.8610961255,24.402519054985,22.012588128169
52,1004.9006090987,0.68412109409218,0.80712573064331,2386.6709617176,-27.304323970933,-32.228558921733
53,1004.9644675287,0.11369617142434,1.0161121043053,2387.2360687096,-5.0605596140087,-45.312622740895
54,1004.9837395353,-0.58818848440193,0.46048509439316,2388.4474969958,37.632053074246,-29.463995064434
55,1004.9448837561,-0.23161588572127,0.076589575043661,2385.1181433426,7.4604713940212,-2.4825176153641
56,1004.9593975051,-0.68097146128943,0.59276923016333,2385.790874798,23.84915152709,-20.747752212655
57,1004.9727180962,-0.043297053328714,1.0423481805459,2387.0395532436,1.8547269112147,-44.642148071434
58,1004.9047388482,-0.7172940746379,0.026762213681375,2385.4656575894,24.036578187472,-0.89572482213442
59,1004.9202482511,-0.38154695783016,0.45007245355018,2385.3209370437,12.571232459577,-14.812649568113
60,1004.9924074263,-0.42952578647328,0.44419388760113,2385.353926561,14.200376445554,-14.716557749099
61,1004.929128263,0.84108452663868,0.61994916985212,2386.41892019,-32.251038216502,-23.755590814522
62,1004.9365755388,-0.79930175915739,-0.067715092357365,2385.5903544449,27.213499224667,2.2996296651017
63,1004.965754621,0.1650166661898,0.87942154642005,2385.771867687,-5.7716889578081,-30.706420825071
64,1004.9616268904,-0.92315768847549,0.39276790504412,2387.3723162781,42.454507313821,-18.070938027384
65,1004.9713694041,-0.57391989669235,-0.49562118160528,2385.5237753044,19.395689809933,16.735651469529
66,1004.911778492,-0.11275226242822,0.19630835450496,2385.1231258664,3.6597370700042,-6.3051201115226
67,1004.9613217565,-0.06598362280284,-0.4036521716783,2389.3354131461,7.4895949005022,45.798068195718
68,1004.9411189223,-0.10001594693715,0.27118599999606,2390.6596134513,-14.091105806188,38.206349297948
69,1004.912627122,-0.22947860642793,-0.36114502613776,2385.2032215548,7.4811348964393,11.717281213571
70,1004.9676759642,0.45402443702398,-0.90319724867886,2386.1721071991,-16.757742150089,33.367598396939
71,1004.9770666403,0.58233505651315,-0.52697218050432,2388.328350126,-35.443785319407,32.077417290647
72,1004.9002252157,0.061580905324107,-0.1466683654487,2385.1043044962,-1.9698545788994,4.6930519376269
73,1004.95827451,0.21140530573263,0.74572332376157,2385.5409548049,-7.1726211663745,-25.249477326198
74,1004.9503022004,0.85725839199762,0.31881563094526,2385.8219554963,-30.115086680121,-11.187990839016
75,1004.9475662589,-0.11755037962078,-0.77987650645534,2385.5611136989,3.9767206315683,26.466039451042
76,1004.9248079038,0.27898991713277,0.0291411029229,2385.1413256758,-8.9878070492871,-0.91941992332482
77,1004.9189596725,1.006443964041,-0.30703794485539,2386.4939390429,-39.005120736542,11.91282653253
78,1004.9381400003,1.0238850855682,0.17729246018157,2386.3508851144,-38.824333606446,-6.7331364676631
79,1004.9691062169,0.50747128467242,0.19232291234572,2385.2848813207,-16.661533977799,-6.3185078543308
80,1004.9783170842,-0.15679341792067,-0.98769097740827,2386.1119547257,5.7471851780206,36.150716399624
81,1004.9738053936,0.67556354248083,-0.74375145228561,2386.1412491243,-24.833733225802,27.319154925387
82,1004.9177759738,-0.40934637437566,0.57060074487025,2385.4428885101,13.690231485235,-19.051036797632
83,1004.9639618731,0.16728859894611,-0.43199176208869,2385.2276042475,-5.4724911453222,14.066439244481
84,1004.9862238044,-0.18287759860698,1.0389189567507,2386.8323158377,7.5277724742578,-42.741527508258
85,1004.9049884701,-0.66057326540525,-0.82577817193084,2386.6198678351,26.164620852464,32.69332437609
86,1004.9997934173,0.87320629235308,0.43457432109772,2386.0109844353,-31.502336055707,-15.690425613132
87,1004.9944210895,-0.081991778795096,0.97881019756951,2386.0384042408,2.9551238114466,-35.423127283599
88,1004.986227658,0.59392411653968,0.1926552154177,2385.3577831449,-19.683641358657,-6.3713978870137
89,1004.9104951842,-0.96025103787386,-0.077052357790409,2385.9634857918,34.3950441991,2.7596310971138
90,1004.9629648302,0.86986061752584,0.20582524280302,2387.9224194289,-46.202868919019,-10.932647840147
91,1004.9584131138,-0.66956500928631,0.69614975456944,2387.5982119506,32.48579981632,-33.76616443383
92,1004.9155654929,-1.0541221759153,-0.0050387499784703,2386.5254633621,41.044506938338,0.19034788668497
93,1004.9274985884,-0.042650042010846,0.58140273826671,2385.3142733648,1.4233266627869,-19.133159861856
94,1004.9694916132,0.32790791719457,0.081349588471828,2385.161883681,-10.607733534248,-2.6338241534563
95,1004.9873953898,0.22657872022672,0.051596454168455,2385.1211869292,-7.3060876595771,-1.6636568574387
96,1004.9460525198,0.43957525760495,0.5040146255115,2385.4081161053,-14.64677083039,-16.765199764035
97,1004.9582809624,-0.88258968866331,0.36685479462863,2387.6575172194,43.404306144913,-18.028945407044
98,1004.939965886,0.014590377636,-1.0377473238024,2386.3368626556,-0.54642062196592,39.269293931194
99,1004.969587451,-0.42178622287097,0.63298206828951,2385.5261122953,14.25470913116,-21.390404069935
100,1004.9585364651,-0.93010608717324,0.26866103989572,2387.5847169318,44.982427948577,-12.987479330541
101,1004.9461988532,-0.34912586442473,-0.0077722254997429,2385.1654908805,11.297803433512,0.26186123703711
102,1004.987938223,-0.7287017290952,0.67006987261259,2386.0629733415,26.48099777129,-24.330120032136
103,1004.9638848746,0.85356637931545,0.55689895250817,2387.2656394212,-38.269749997813,-24.968216088835
104,1004.9304224255,0.6717219495012,0.79929249848375,2386.4100971891,-25.721180892309,-30.583209754583
105,1004.9465817549,0.26076978760531,0.31045488612638,2385.1914258615,-8.4904497893568,-10.057768661586
106,1004.9939220712,0.36382853093104,-0.37102415802029,2385.2678545895,-11.924163943688,12.166833756764
107,1004.9740594207,0.54757917948061,-0.11834919911047,2391.0563236687,37.263441587001,-8.0509798941655
108,1004.9299902916,0.014390452707171,-0.11085021990182,2390.3681118193,5.4495365676295,-41.976365717518
109,1004.9776962335,0.99623519262676,-0.094516886378137,2386.1156650106,-36.483510989909,3.4659560162764
110,1004.9773367429,-0.50420419872748,0.28180845950427,2388.9335366493,41.308917193372,-23.093211951741
111,1004.9943966872,0.70105036250884,0.49255678591295,2385.685289103,-24.195063150107,-16.986829609593
112,1004.9614368838,0.64920980200381,-0.76321712167708,2387.3810118091,-29.911173721069,35.17233793404
113,1004.9296421321,1.0306697390365,0.16973567346858,2386.4154160493,-39.488786343274,-6.4888587902965
114,1004.984245924,0.49491788107212,0.92993163056796,2386.8576183615,-20.479145546805,-38.475793466331
115,1004.9511833945,-0.13460369623024,-1.0193852148959,2386.2642079,5.0318490028243,38.100447576739
116,1004.9627653969,-0.85294791859551,0.27334941886443,2387.9153695774,45.204105991996,-14.486502773336
117,1004.9390420405,0.75417556947148,-0.26424585857767,2385.5834937315,-25.651260629205,9.0028386440522
118,1004.9955320247,-0.090498718049531,0.36491810002474,2385.183975047,2.9195544996312,-11.830254580047
119,1004.9613732611,-0.067349061729483,-0.2606363067693,2385.1371536183,2.1736656958318,8.3919356060364
120,1004.9624201991,-0.98825396318922,0.20737736552833,2387.3291304764,44.982935593447,-9.4523515351471
121,1004.9618672693,0.071091074990306,1.0032383966384,2387.3554325281,-3.2676021560198,-45.961393209573
122,1004.9605372031,-0.65242637296963,-0.013104725190169,2385.3908080609,21.688220482175,0.46318010834398
123,1004.9593623652,-0.92952071818775,-0.12559329361854,2387.7333365577,46.754003376274,6.3323407620565
124,1004.9994957326,-0.2374307724692,-0.098777495514639,2385.1301023977,7.6580993935978,3.1775858498848
125,1004.9645928489,-0.6459870384346,0.41377123653229,2385.5322827605,21.857522437867,-13.9847154814
126,1004.9159483304,-0.88513986384238,-0.36392422787921,2385.9439774173,31.595934157807,13.000922641706
127,1004.9726111096,0.41940926345658,-0.62982297193789,2385.5220261712,-14.153274672963,21.2810597865
128,1004.9272261141,1.2033375468009,0.062241750761339,2391.8605041228,31.187374256468,1.613600901318
129,1004.9315979838,0.45854103794316,0.81900193645882,2385.880201749,-16.226890237055,-28.97723949338
130,1004.9436598318,0.22169576796701,-0.22567292683398,2390.6968793989,28.363054309765,-28.869509820453
131,1004.9789670669,-1.6023494958311,1.2916960406231,2392.6924804619,-16.686763675862,13.450651326625
132,1004.9741630554,0.64131275204949,0.82400646722517,2387.0212381802,-27.367162137176,-35.179792085521
133,1004.9473508243,-0.3734360761089,-0.96188603656414,2386.2853286997,13.99601685971,36.087225559049
134,1004.9966206662,-0.5598284137234,0.80368014293262,2386.0272674116,20.231723537342,-29.050968693076
135,1004.9679576852,-0.12571318560484,1.0273547626739,2387.1358958806,5.4716780982385,-44.795957119184
136,1004.9043161131,0.43606955135973,-0.57079842375722,2385.4661498513,-14.61812555795,19.126565899138
137,1004.9759682812,0.83811417016334,-0.27267897676411,2385.7416746413,-29.116826955432,9.48112781309
138,1004.960026306,0.91629619475174,0.37134666895293,2387.4735764709,-43.052399109838,-17.445727473304
139,1004.9583362507,-0.32547045098937,-0.89561112733067,2387.670824451,16.053176768587,44.212993747598
140,1004.9513967404,-0.32138992430395,-0.85477030568507,2385.81785205,11.292155340527,30.009294207813
141,1004.902133834,0.23356357491409,-0.45741041628331,2385.263843535,-7.6782014025426,14.945016430554
142,1004.9644690152,-0.27055733950356,0.83684484624029,2387.98020252,14.632437199006,-45.259908034909
143,1004.937272464,-0.61613816155318,0.51231142538351,2385.5884973934,20.966220546954,-17.445356273868
144,1004.990894504,-0.18164816189046,1.0416195796205,2386.7651027894,7.3817947834422,-42.336147729913
145,1004.967487826,-0.5145889475574,-0.17705349255385,2385.2868013151,16.901186792791,5.8065210791824
146,1004.9706117423,0.037867599007381,0.45661789227368,2385.226716093,-1.2531404550364,-14.871687702945
147,1004.912112086,-0.040904861312919,-1.0545662927648,2386.5536491804,1.5842676604558,41.288370101174
148,1004.9316414443,0.20671203964207,1.0226326587383,2386.4018793721,-7.9120644813045,-39.079204874561
149,1004.9969044943,0.61054037873022,0.05807799180392,2385.3507248416,-20.189515813434,-1.9242348702942
150,1004.9988778515,-0.43569869356827,0.035965723978868,2385.2164854039,14.183080206828,-1.158677504708
152,1004.9826627452,0.0054431634432216,-0.62820638911844,2385.3602969802,-0.19805297211178,20.828287371144
153,1004.9585845283,0.76839591100949,0.098809343184035,2385.5404806331,-26.02131077818,-3.3326810516323
154,1004.9795404542,-0.56229156541578,-0.88594945926884,2386.9413852358,23.614778122903,37.190933108883
155,1004.9773194627,0.65327970309702,0.58895500597944,2385.7361926861,-22.69053138655,-20.440466240869
156,1004.9777963817,0.46461651165568,-0.88619388408392,2386.1150571314,-17.00900119293,32.45371034178
157,1004.9315526191,0.18216427129031,0.2104191835583,2385.1407472834,-5.8744615226861,-6.7702321308552
158,1004.9340754264,-0.47660529383842,-0.100782017457,2385.2405114009,15.548512519416,3.3072193695465
159,1004.9325896637,-0.041802470804215,0.1643254717678,2389.8479548692,11.034233175242,-43.361895033755
160,1004.9019776024,0.1015450761766,-0.71397885856656,2385.4687492708,-3.4271683324298,23.939038594178
161,1004.9969379286,0.95719960429263,0.44722056193213,2386.7031944548,-38.518209455491,-17.992256982767
162,1004.9412433365,0.73651778125565,-0.30307915623572,2385.5772304182,-25.032941185796,10.315160030282
163,1004.913620825,0.88970868168881,-0.56669926424337,2386.5410194137,-34.753327969856,22.125156275326
164,1004.9319082994,0.34685119549312,0.34466121455493,2385.242822589,-11.29453585216,-11.272824147423
165,1004.9559591617,0.65177971581698,0.087834558457663,2385.3989227683,-21.674498223274,-2.9351953516397
166,1004.9315152871,-0.23416125450291,0.081547198245324,2385.1204810069,7.5618537202509,-2.5800681074409
167,1004.9628353719,0.88862305614981,-0.13230193754098,2385.7803287311,-31.068590732476,4.6366562723349
168,1004.9812391778,-0.28586819623512,-0.95514623490264,2386.0955094452,10.45019135663,34.87275710363
169,1004.9684354194,0.88697993202398,-0.53588349738946,2387.1270359351,-38.573941626126,23.319682296579
170,1004.9374754394,0.93680096809103,0.4507040388431,2386.3563941219,-35.543785698265,-17.119825630524
171,1004.9337707387,0.037472204304002,0.30965378862451,2385.1493298344,-1.2103954638055,-9.9907354102142
172,1004.9286094222,0.012075685975136,1.0451346997963,2386.4224863831,-0.47428963520887,-40.090655450651
173,1004.993768129,-0.88667868694498,-0.57550462651653,2386.732142144,35.865057399745,23.269922290861
174,1004.9139647487,-0.70161448728239,-0.08509826459378,2385.4514933944,23.458690199347,2.8409518791816
175,1004.9913880349,-0.68486213201339,-0.26087333772481,2385.4833405034,23.05944086623,8.7643300850315
176,1004.9998106949,-0.21027420019132,-0.82311236749258,2385.6752179176,7.236212714601,28.363344589957
177,1004.9720414677,-1.0044445790196,-0.065039852930036,2386.1510064003,36.963268965931,2.3979852919717
178,1004.9856006467,0.83107124199218,0.54247594357314,2386.0735086651,-30.236889473888,-19.747168804382
179,1004.96662537,0.79387163215209,0.41028569252921,2385.7693196145,-27.712111977841,-14.31476315746
180,1004.9625983212,0.97706169446473,0.25971077029755,2387.321616869,-44.392378873715,-11.786911254708
181,1004.9414911013,0.2643923966153,1.0023674327852,2386.3252415802,-9.9988874194817,-37.855283957151
182,1004.9273974686,0.0090785171469451,-0.0023732201319618,2390.1436233519,-42.005492857222,11.023112128474
183,1004.9661092294,0.90299914956346,0.49417911047908,2387.1776262459,-39.778710707694,-21.785369729378
184,1004.9039983234,-0.31827325406667,-0.78294888350255,2385.6664039322,10.935638056379,26.911914849131
185,1004.9041543601,0.24270618802767,0.80934428765359,2385.6659702744,-8.3391330201507,-27.817360843292
